time,desired_angle,current_angle,velocity,error
16.464902639389038,-5.18,-5.48,7.643,0.3
16.501635789871216,-5.03,-5.265,6.62,0.235
16.538655519485474,-4.68,-5.063,5.528,0.383
16.575653791427612,-4.46,-4.79,8.042,0.33
16.612655878067017,-4.08,-4.539,7.511,0.459
16.652371644973755,-3.85,-4.267,9.104,0.417
16.690019845962524,-3.59,-3.971,5.602,0.381
16.726919651031494,-3.42,-3.736,7.917,0.316
16.763656854629517,-3.11,-3.491,5.179,0.381
16.800686836242676,-2.96,-3.316,6.547,0.356
16.83724880218506,-2.63,-3.032,6.724,0.402
16.873701810836792,-2.46,-2.823,5.989,0.363
16.910606861114502,-2.3,-2.567,6.645,0.267
16.947620630264282,-2.03,-2.352,5.304,0.322
16.985005378723145,-1.89,-2.152,5.841,0.262
17.02145743370056,-1.59,-1.943,5.883,0.353
17.05824613571167,-1.42,-1.736,6.469,0.316
17.09512710571289,-1.11,-1.503,5.524,0.393
17.13245153427124,-0.97,-1.294,6.812,0.324
17.169418334960938,-0.81,-1.066,5.531,0.256
17.205967903137207,-0.49,-0.847,5.978,0.357
17.242992401123047,-0.33,-0.614,5.996,0.284
17.280299425125122,0.0,-0.384,6.628,0.384
17.31630825996399,0.14,-0.162,6.453,0.302
17.353779554367065,0.41,0.06,6.631,0.35
17.3907732963562,0.57,0.255,6.76,0.315
17.427005529403687,0.86,0.473,5.508,0.237
17.46379542350769,1.01,0.667,6.106,0.343
17.500789403915405,1.19,0.89,6.352,0.3
17.53787350654602,1.53,1.134,5.999,0.396
17.574092388153076,1.72,1.373,6.86,0.347
17.611093044281006,1.98,1.638,8.997,0.342
17.648295640945435,2.3,1.878,6.283,0.422
17.685351610183716,2.45,2.097,5.875,0.353
17.721378564834595,2.61,2.335,6.144,0.275
17.7586510181427,2.89,2.553,5.962,0.337
17.791651010513306,3.03,2.761,6.291,0.269
17.828823566436768,3.39,2.95,3.001,0.44
17.869334936141968,3.7,3.247,10.242,0.453
17.902328491210938,3.88,3.512,6.147,0.368
17.939533472061157,4.05,3.759,7.542,0.291
17.976380109786987,4.16,3.973,4.424,0.187
18.01305079460144,4.27,4.118,4.019,0.152
18.050139904022217,4.27,4.193,-0.473,0.077
18.086854457855225,4.27,4.219,0.931,0.051
18.122814655303955,4.27,4.251,1.153,0.019
18.160436868667603,4.27,4.259,0.0,0.011
18.196532011032104,4.15,4.264,-0.247,-0.114
18.233551740646362,4.01,4.163,-3.404,-0.153
18.26656460762024,3.67,4.011,-3.65,-0.341
18.303563594818115,3.39,3.784,-6.167,-0.394
18.340182304382324,3.22,3.536,-5.528,-0.316
18.381593704223633,2.82,3.288,-7.688,-0.468
18.41788935661316,2.58,2.989,-7.209,-0.409
18.454594612121582,2.17,2.666,-11.293,-0.496
18.491589784622192,1.74,2.312,-12.611,-0.572
18.52859091758728,1.33,1.942,-9.558,-0.482
18.566094160079956,1.08,1.582,-9.998,-0.502
18.60209584236145,0.75,1.236,-7.999,-0.486
18.639607191085815,0.35,0.918,-9.548,-0.568
18.676607131958008,0.11,0.575,-7.493,-0.465
18.713600158691406,-0.24,0.237,-9.325,-0.477
18.75011372566223,-0.56,-0.077,-7.462,-0.483
18.78710651397705,-0.66,-0.368,-7.615,-0.292
18.82411503791809,-1.0,-0.6,-7.836,-0.4
18.860620737075806,-1.3,-0.862,-6.688,-0.438
18.901612520217896,-1.66,-1.183,-9.226,-0.477
18.93812656402588,-1.91,-1.485,-8.481,-0.425
18.975127458572388,-2.31,-1.81,-8.674,-0.5
19.01262354850769,-2.75,-2.177,-9.246,-0.573
19.049128770828247,-3.08,-2.544,-11.557,-0.536
19.086129188537598,-3.63,-2.981,-12.783,-0.649
19.126137018203735,-4.25,-3.452,-13.92,-0.798
19.163734197616577,-4.83,-3.981,-14.28,-0.849
19.200861930847168,-5.21,-4.473,-13.688,-0.737
19.237114429473877,-5.73,-4.998,-11.751,-0.732
19.274722576141357,-6.2,-5.456,-12.798,-0.744
19.311728477478027,-6.47,-5.903,-11.38,-0.567
19.351420879364014,-6.86,-6.298,-8.97,-0.562
19.388428688049316,-7.33,-6.679,-10.847,-0.651
19.425646543502808,-7.62,-7.08,-11.003,-0.54
19.463021993637085,-8.05,-7.484,-10.044,-0.566
19.49963903427124,-8.51,-7.87,-13.787,-0.64
19.539955139160156,-8.81,-8.266,-10.014,-0.544
19.576785564422607,-9.23,-8.673,-11.147,-0.557
19.613792419433594,-9.59,-9.055,-9.765,-0.535
19.651246786117554,-9.88,-9.396,-9.955,-0.484
19.687779903411865,-10.34,-9.763,-10.365,-0.577
19.725432634353638,-10.75,-10.179,-11.125,-0.571
19.76595139503479,-11.07,-10.545,-11.139,-0.525
19.802958011627197,-11.58,-10.951,-11.811,-0.629
19.839504957199097,-12.19,-11.391,-11.285,-0.799
19.876258850097656,-12.61,-11.885,-14.528,-0.725
19.91389560699463,-13.2,-12.419,-13.298,-0.781
19.954442024230957,-13.67,-12.918,-13.958,-0.752
19.990896224975586,-13.96,-13.354,-10.006,-0.606
20.027918100357056,-14.47,-13.791,-11.099,-0.679
20.06544518470764,-14.85,-14.233,-14.058,-0.617
20.105889797210693,-15.45,-14.715,-13.73,-0.735
20.14215636253357,-16.03,-15.234,-16.563,-0.796
20.179291009902954,-16.47,-15.737,-14.893,-0.733
20.21671414375305,-17.21,-16.3,-16.133,-0.91
20.256737232208252,-17.89,-16.937,-22.254,-0.953
20.294405221939087,-18.26,-17.508,-15.89,-0.752
20.331416130065918,-18.79,-18.036,-13.144,-0.754
20.36794352531433,-19.38,-18.532,-11.879,-0.848
20.405253648757935,-19.74,-19.043,-12.668,-0.697
20.44515609741211,-20.27,-19.541,-13.127,-0.729
20.482155323028564,-20.95,-20.017,-13.819,-0.683
20.519173622131348,-21.46,-20.572,-15.488,-0.888
20.556671380996704,-22.22,-21.208,-16.867,-1.012
20.596677780151367,-22.63,-21.824,-16.502,-0.806
20.63367247581482,-23.17,-22.384,-13.367,-0.786
20.670700073242188,-23.82,-22.937,-18.152,-0.883
20.70770001411438,-24.31,-23.491,-16.214,-0.819
20.74820613861084,-24.93,-24.085,-13.937,-0.845
20.785205125808716,-25.51,-24.641,-18.064,-0.869
20.822201013565063,-25.99,-25.168,-16.436,-0.822
20.859927654266357,-26.7,-25.788,-16.664,-0.912
20.899933099746704,-27.37,-26.383,-15.711,-0.987
20.93712019920349,-27.78,-26.959,-16.373,-0.821
20.97411870956421,-28.41,-27.539,-13.563,-0.871
21.0111186504364,-29.16,-28.102,-15.303,-1.058
21.04764723777771,-29.59,-28.719,-16.451,-0.871
21.088643789291382,-30.11,-29.314,-11.877,-0.796
21.125651836395264,-30.82,-29.831,-16.127,-0.739
21.16220784187317,-31.3,-30.408,-16.834,-0.892
21.199215412139893,-32.0,-31.032,-21.653,-0.968
21.239741325378418,-32.42,-31.629,-15.7,-0.791
21.276591777801514,-33.05,-32.205,-15.021,-0.845
21.31365966796875,-33.87,-32.816,-23.622,-1.054
21.354361295700073,-34.24,-33.452,-15.912,-0.788
21.391361236572266,-34.7,-33.985,-12.604,-0.715
21.428356170654297,-35.3,-34.464,-17.555,-0.836
21.46540403366089,-35.82,-34.98,-17.268,-0.84
21.502403497695923,-36.67,-35.643,-16.063,-1.027
21.542935609817505,-37.37,-36.328,-22.842,-1.042
21.579935550689697,-37.79,-36.94,-17.539,-0.85
21.616936922073364,-38.58,-37.551,-17.019,-1.029
21.6578631401062,-39.34,-38.223,-20.465,-1.117
21.694948196411133,-39.7,-38.87,-14.759,-0.83
21.731874227523804,-40.35,-39.455,-13.791,-0.895
21.768392324447632,-41.06,-40.025,-17.003,-1.035
21.805425882339478,-41.52,-40.628,-14.941,-0.892
21.845951557159424,-41.98,-41.24,-13.063,-0.74
21.88295292854309,-41.98,-41.625,-6.736,-0.355
21.919958353042603,-41.98,-41.797,-3.687,-0.183
21.956809520721436,-41.98,-41.877,-2.076,-0.103
21.993816375732422,-41.98,-41.932,-0.922,-0.048
22.030765771865845,-41.72,-41.903,2.283,0.183
22.067280292510986,-41.41,-41.782,4.302,0.372
22.104287147521973,-41.03,-41.522,9.644,0.492
22.141342639923096,-40.34,-41.1,12.555,0.76
22.182343244552612,-39.75,-40.613,15.709,0.863
22.219342947006226,-39.34,-40.094,13.484,0.754
22.255868196487427,-38.68,-39.563,15.68,0.883
22.29337215423584,-38.18,-39.005,14.926,0.655
